learner_id,source_file_path,instructor_sender_pattern,export_encoding,include_in_public_outputs
L001,C:/Users/PRO/Desktop/Hyundai.txt,Apple,UTF-8,FALSE
L002,C:/Users/PRO/Desktop/Samsung.txt,Apple,UTF-8,FALSE
L003,C:/Users/PRO/Desktop/yuhan kimberly.txt,Apple,UTF-8,FALSE
